room,idx,original,translated,comments
10,2,The bay doors are currently closed.,_____ ______ ______ ____.,
10,3,You overhear a couple of strange guys conversing nearby.,___ ____ _____ __ ______ ______ ______ ____ _____ ____.,
10,4,Through this window you can see down into the pod bay. A pod sits waiting on the launch track. The large bay doors are currently %s.,___ _____ ___ ____ _____ ____ __ ___ ____ ______. _____ _____ ______ __ _____ ______. ___ _____ ______ %s ____.,
10,5,There are only a couple of buttons that look like they do anything.,__ __ __ ___ _______ _____ ___ _____ ____.,
10,6,You already have two other buttons to choose from.,__ __ ___ ___ _______ _____ ______.,
10,7,These are locked down. They won't help you anyway.,__ ______. ____ ____ __ __ _____ __.,
10,8,None of these buttons are operational at this time.,__ ___ ________ ____ ____ ____ __.,
103,0,,,
103,1,Somebody wasted the CRT.,"_____ ""____"" ___.","CRT __ ___ __ ___. _____ ___ ______ ""__ CRT"""
103,2,This is the Data Cartridge Retrieval System.,____ _____ _____ ______.,
103,3,Cartridge viewing on this system has been rendered impossible.,_____ _______ ______ __ ____ _____ ____ _____.,
103,4,"Please enter a Cartridge Code Sequence before pressing ""ENTER"".","___ ___ __ ____ _______ ____ ____ ""ENTER"".",
103,5,Cartridge found. Now retrieving.,______ _____. _____.,
103,6,That cartridge is currently out on loan. Please try again later.,_______ ______ ____. ___ ____ _____ _____ ____.,
103,7,"Sorry, that cartridge is reserved. Please check again later.","_______, _______ _____. ____ ___ _____ ____.",
103,8,"Sorry, that cartridge was destroyed in a freak fusion accident. Check back with us in a few months. Purchasing should have a new one in by then.","_______, _______ _____ ______ _____ ______. ___ _____ ___ ____ ____ ______. __ __ ____ ___ ____.",
103,9,"Ken took that one home. That means we'll never get it back, so don't bother checking back later.","__ ___ ____ _____. __ _____ ______ __ ____ ____ _____, __ ___ ___ _____ ___.",
103,10,Cartridge title not found.,__ _______ __ ____.,
103,11,These buttons don't seem to be functioning properly.,____ ________ ___ ____ _______ _____.,
11,0,A spacesuit hangs in the closet. A helmet sits on the top shelf.,_____ ___ _____ _____. ____ _____ __ ____ ______.,
11,1,You notice some sort of gadget in the drawer.,___ _____ ____ __ ____'_ ______.,
11,2,There is nothing inside the drawer. You push the button and the drawer slides neatly back into place.,"___ ___ ___ ____ ______. ___ ____ __ ______, _______ ______ _____ ______.",
11,3,There are no controls on this panel. It is populated only by gauges and read-outs.,___ ___ ______ __ ___ _____. ___ ______ __ ________ _____.,
12,0,"Does that artificial gravity do the job, or what.","______ _________ ____ __ ______, __ __.",
12,1,That concludes your experiment on the effects of vacuum on the unprotected human body. Wasn't that fun!,__ ____ __ ________ _____ _____ _____ ____ __ _____ _______ ____ ____. ____ ___ __ ___!,
12,2,The massive bay doors are %s.,_____ _____ ________ %s.,
12,3,You can't open the Bay doors from this room.,____ ____ _____ __ _____ _____ ____ __.,
12,4,Some alien anchorbeing is broadcasting a message about the stolen Star Generator.,______ _____ ______ ____ ___ _____ _____ ______ ____.,
12,5,A blank monitor hangs from the ceiling.,___ ____ ____ ______.,
13,0,You exit the escape pod.,___ ____ ______ ______.,
13,1,Remove your seatbelt first. It works better.,_____ ___ __ _____ _______. __ ____ ___ ____.,
13,2,Please press the desired button on the inset.,___ ___ __ ____ _____ ____.,
13,3,This option works better with the power on.,______ __ _____ ____ ___ _______ ____.,
13,4,You will need to leave the Launch Bay first.,_____ ____ _____ __ ____ ______.,
13,5,This option works only when clear of the Arcada.,______ __ _____ __ ____ ______.,
13,6,Nothing much will happen without power.,___ ___ __ ____ ___ ____.,
13,7,"Buckle up for safety, buckle up.","___ _____ ______, ___ ____.",
13,8,"As you slide the throttle forward, you can feel the Arcada start to shake.","____ ___ _____ __ ______ _____, ____ ______ ______ __ ___ ______.",
13,9,Guess those doors are as strong as they look.,____ _______ _____ _____ ___ ___ _____.,
13,10,Through the open bay doors you can see a plethora of stars.,____ ______ ______ _______ ___ ____ ___ __ ______.,
13,11,Your view is limited by the closed bay doors.,___ ______ ___ _____ __ ___ _____ ______ _______.,
13,12,You don't need that right now.,___ __ ____ __ __ ____.,
13,13,THIS BUTTON IS NOT TO BE PUSHED AT ANYTIME.,___ _____ __ _____ __ _____.,
13,14,This is the power button for the escape pod.,___ _____ ______ __ _____ ______.,
14,0,"Gee, all of a sudden the engines have grown quiet. Boy, you sure were zooming along for quite some time.","____, ____ _____ _____ ______ ____ ________ ____. ____, ___ ______ ____ __ ___.",
14,1,"Of course, the zooming part is over now since you've run out of fuel. You'll just float along on inertia with no control of your attitude or destination.","_____, ____ _____ ______ __ __ ____ ____ _____ __ ____. ___ _____ __ ____ ______ ___ _____ __ _______ __ ______.",
14,2,"Yep, you're still drifting hopelessly through space. Bummer, eh?","__, ___ _____ ____ ___ __ _____ ______ ____. ____, __?",
14,3,Hunger grows to a level where your body decides to start feasting on itself. In your last conscious thoughts it dawns on you that navigation of some sort might have been a big helper here.,____ ____ ____ __ ____ _____ ______ _____ __ ____. ______ ______ _______ ____ __ _______ __ _____ ___ ___ ____ ___ ____ __ ___ _____.,
14,4,Remove your seatbelt first. It works better.,_____ ___ __ _____ _______. __ ____ ___ ____.,
14,5,Please stay seated until the space pod has come to a complete stop. Thank you for your cooperation.,___ _____ ____ ______ __ ______ ______ ____ ____ __ _____ ______. ____ __ _____ ______ _____.,
14,6,The pod has gone through some changes. All systems seem to have died and the windshield is now embossed with a lovely mosaic pattern.,______ ____ ___ _______. __ _______ ____ ____ ____ ____ _____ ______ _____ ______.,
14,7,"The inside of the Arcada's escape pods is not exactly packed with luxurious appointments. However, when it comes to saving one's posterior, it's as good as a Rolls.","____ _____ ______ __ ______ ____ _____ _____ _______ _____ ______ ______. ___ __ ___, ___ _____ _____ _____ _______, ___ ___ _____ _____-____.",
14,8,"The pain fades away along with any sense of belonging to the community of the living. Your powerless pod drifts through space for eons, eventually being plowed by some primitive deep space probe. Knowing that your insurance deductible was much too high anyway, you gain a new appreciation for death.","____ ______ ____ __ _____ _______ ______ _____. ______ ____ _____ _____ ____ _____ ____ ______, __ ______ _____ __ ___ ______ ___ ____ __________ _____. ________ _____ ______ _____, _____ __ _________ ____ __ _____.",
14,9,Please press the desired button.,___ ___ __ ______ _____.,
14,10,Thank you for flying Arcada Getaway Podlines! It's nearly been a pleasure serving you. Tell a friend (if you've got one).,____ _____ ______ _____ _____! ___ ____ _____ ____ ____. ____ _______ (__ __ ___ ____).,
14,11,This has been rendered inoperable due to the shock of that less-than-graceful landing.,____ _____ _____ ____ ___ ______ ____ _______ _____-______-_____.,
14,12,This option works better with the power on.,______ __ _____ ___ ____ _______ ____.,
14,13,The fuel supply has expired.,_____ ____ ___.,
14,14,This button just doesn't work the same since the accident.,_____ __ __ ____ _____ ____ ___ ______.,
14,15,You have a feeling you shouldn't have pressed that button.,__ __ _____ ___ ____ ____ _____ __ ______ ___.,
14,16,"Ouch! I think we've got some serious organ damage here! All of them, of course, could be easily replaced in the time period from which you've just arrived. However, a quick scenery check reveals that you are now in the Dark Ages. The only transplant you'll get here is from carcass to spit over flame.","____'! ___ ____ ___ ___ __ _____ ______ _____! ____, _____, ___ ______ ______ ______ ____ ____ ____ __ ___. ____, _____ ___ _____ ____ __ ____ ____ _______. ______ ______ _____ ___ ___ ____ _____ ______ __ _____.",
14,17,"As you draw a few final lungfuls of oxygen through your newly-acquired sucking chest wound, you gleefully notice your final resting place is near beautiful Nottingham Castle - universally renowned for its inclusion in Sierra's 'Conquests of the Longbow'.","____ ____ ____ ____ _______ __ ___ _____ _______ ___ _____ ____ ______ ___, ___ _____ _____ __ __ ____ ______ ______ ____ ____ _____ ________ - ______ _____ ___ ______ _'______ ____ ______'.",
14,18,"Oh, my goodness! You're shocked to hear some highly inflammatory language making its way into your auditory canals. Must be some uncivilized ruffians in the nearby pub.","___, ______ ______! ___ ____ _____ ___ _____ ______ ____ __ ____ __ ____ _____ _______. _____ ___ __ _______ ____ _____ ________ _____.",
14,19,"Well, you're dead again. We even warned you not to push that button. You have no one to blame but yourself for having to sit through a plug for another fine Sierra product. Maybe you'll follow directions next time. Thanks for playing (and all that stuff).","____, ___ __ ___. ___ ______ ____ __ _____ __ ______. ___ __ __ __ ______ ____ __ ____ __ __ ______ _____ _______ _____ _____ ___ __ _____. ____ ____ ____ _____ _______. ____ ______ (___' ___').",
14,20,Nothing much will happen without power.,___ ___ __ ____ ___ ____.,
14,21,The lack of fuel allows you to float aimlessly through space.,______ ____ _____ __ ____ ___ ____ ____ ______.,
14,22,You are already thrusting through space.,___ ___ ____ ______ ____.,
14,23,You have no need to remove your seatbelt.,___ ___ ____ _____ __ _____ _______.,
14,24,"Hey, this baby saved your life. The view out the window, however, might make you regret it.","__, ______ ____ _____ ____ _____ ____. ____ ______ ______, _____ ___, ____ _____ __ ______ __ __.",
14,25,Dials galore populate the instrument console of the pod cabin.%s,_____ ______ ______ __ ____ _____ _____ ______.%s,
14,26,"This is the pod's instrument console. Dials, gauges, and a couple of controls fill out the board.%s","___ ____ _____ _____ __ ______ ______. _____, _______, ____ _____ ______ __ ____.%s",
14,27,This is the lucky escapee's seat.%s,____ ____ ____ ___.%s,
14,28,"Through the fractured pod window, you see utter desolation spread out before you. You suddenly feel very lonely.","____ _____ ______ _____, ___ ____ _____ _____ ____ __ ____ _____. ___ ____ _____ ____ ___.",
14,29,The window allows you an unrestricted view of the vast nothingness of space.,_____ ____ __ _____ ____ ______ __ _____ ___ _________.,
14,30,The rugged landing liberated the survival kit from its mounting fixture.,_____ _____ ____ __ ____ _______ _____ ______ ___.,
14,31,Within the survival kit are the necessities for surviving a brief stay in a less-than-hospitable environment.,____ _______ _____ __ __ _______ _______ _____ ____ ______ _____ _____ ______ ____.,
14,32,You can't get that now.,___ __ ______ ____ __ __ _____.,
14,33,"Nice lights, huh?","_____ ______, __?",
14,34,This is a radar used by the Autonav system.,"__""_ __ ____ __ _____ ______ _________.",
14,35,This button WASN'T to be pushed at anytime. Now that it's dead go crazy and push away.,"__ _____ __ __ ____ ____ _____ _____. ___ ______ __ ______, _____ _____ ____ ___ _____.",
14,36,THIS BUTTON IS NOT TO BE PUSHED AT ANYTIME.,___ _____ __ _____ __ _____.,
14,37,This is the power button for the escape pod.%s,__ _____ ______ __ _____ ______.%s,
140,0,"""Howdy, bucko! Can I interest you in one of the finest little used space ships in the galaxy? You look like a man of discerning taste. This one, for instance, is just your speed... er... style, that is!""","""____, ____! ____ ______ ____ ____ _______ ____ ______ _________ _____ _______? ___ ____ ___ ___ _____ _____. ____, ____, ______ __ ___ ____... __... ____ ___!""",
140,1,"Oops, sorry, chief. I forgot, you've already purchased that ship. What was I thinking of?","____, _____, ___. _____, ___ ____ __ ______ ___. __ ___ __ ____?",
140,2,"Well, we're back for another look at this fine, fine, piece of jun... uh... spaceware. Right, chief?","____, _____ ___ _____ __ _______ _____ ______ __ __ ____... __... ____ ___. ____, ___?",
140,3,"""This is quite a unique little unit. Never been flown over Mach 3. It was owned by a little old lady from Glansadrom. You have to fly it to believe it. And she can be yours for only 99 buckazoids. One time offer only. TALK to me, friend!""","""____ _____ ____ _______ _____. _____ __ ___ ___ ___ 3. ___ ____ _____ _____ _________. ____ ___ ______. ____ __ _____ _____ ___ _____ 99 _________. _______ __ ___ _____. ___ ___, ____!""",
140,4,"""So how 'bout it, partner? Can I interest you in anything here? Can we do business, or what? I'm at your service. Talk to me, chief.""","""__ __ ____, ____? ____ ______ ____ _____? _____ ___, __ __? ___ _______. ___ ____, ____'_.""",
140,5,"""Hey, fella, waitup! S'long as you're headed in that direction, why don'tcha let me show you my other fine spacecraft? No obligation whatsoever to you, pal. Just tryin' to be helpful to one in need.""","""__, ___, __ ___! __ __ ___ ___ ____ ______ ____, ___ ___ ___ __ ______ __ __ ______ _______ ______ ___? ___ ___ __________ _____, ___. __ ____ _____ ___ _____.""",
140,6,"""It's been a heckuva pleasure doin' business with you. Well, good luck. Come again!""","""___ __ _____ _____ ___ _____. _____ ____ ______. ____ ______ ___ ___ _________!""",
140,7,"""It's been a heckuva pleasure doin' business with you. Well, good luck. Come again!""","""___ __ _____ _____ ___ _____. _____ ____ ______. ____ ______ ___ ___ _________!""",
140,8,"""Well, geez, guy! It seems it's developed some minor malfunction since we acquired it. We did have a small micro-meteoroid shower the other day. Maybe that was it! Yeah, that was probably it.""","""____, ___! ____ ____ _____ ___ ______ ____ ___ ______ ____. ____ ____ ___ ___ _____-_______ ____ _____. ____ __ _____! __, __ ____ _____.""",
140,9,"""Much as I'd like to, I can't refund your money. Company policy. It's out of my hands. However, I can give you seventy buckazoids credit on any other ship in our fine line of used spacecraft. Look around, see what you like.""","""_____ ______ ____ ____, ___ ______ ______. _______ ____. __ __ ______ ___. __ ___, ___ __ _____ __ _____ _________ ______ _____ ____ _____ _______ ________ ____. ___ _____, ____ __ ____ ____.""",
141,0,"Say, pal - I couldn't help noticing your skimmer. It's a genuine '86 Pleiades GL. I've been looking everywhere for one of these babies.","____, ___ - __ ______ ___ ____ __ _____ ___. ___ ____ _______ GL ______ ___ 86. ___ ____ ____ ___ ____ ___ ____ _____.",
141,1,"""Fine. Be that way.""","""____. _____ ___.""",
141,2,"""Glad we could do business. I'll just take that key. Thank you kindly. Hope your stay in Ulence Flats is an interesting one.""","""___ _____ ___ ___ ____. __ ___ __ _____. ____ ____ __. _____ _______ _______ _____ _____ ____ _______.""",
141,3,"""Glad we could do business. Hope your stay in Ulence Flats is an interesting one.""","""___ _____ ___ ___ ____. _____ _______ _______ _____ _____ ____ _______.""",
141,4,"""Okay, buddy - you drive a hard bargain. This is my final offer and I'm only making it 'cause I can see you need it pretty bad.""","""___, ____ - ___ ____ __""_ ____. __ _____ _______ ___ _____ ____ ______ ___ _____.""",
141,5,"""I'll make it 30 buckazoids and I'll throw in this swell jetpack. It was previously owned by a little old Thark who only flew it back and forth to Phleebhut on Sunday. It works great in zero gravity. You'll love it.""","""______ ______ 30 _________ _____ __ __ _____ ______ _____ ___. ___ ___ ____ _____ ___ ___ ____ ____ ____ _______ ____ _____. ___ ____ _____ ____ _____. ___ ____ ____.""",
141,6,"""Fine. Be that way.""","""____. _____ ___.""",
141,7,"""Glad we could do business. I'll just take that key. Thank you kindly.""","""___ _____ ___ ___ ____. ___ __ __ _____. ____ ____ __""",
141,8,"""Glad we could do business.""","""___ _____ ___ ___ ____.""",
141,9,"""In addition, I'd like you to have these coupons good for discounts and free merchandise from some of our local merchants. As a representative of the Ulence Flats Chamber of Commerce, I hope you enjoy your visit to our friendly little community.""","""_____, ___ __ ____ _______ ___ ____ ____ ______ _________ _______ _______ ___ _______ ________. _____ ____ _____ __ ______ _____, ___ ____ __ _____ ____ ________ _________.""",
141,10,"""Say there, pal. It's come to my attention that you're in the market for some transportation.""","""____, __ ___. ______ _____ __ ___ ______ __ _____ ___ ______.""",
141,11,"""I may be able to help. If you'll follow me, I'd like to show you a fine little piece of machinery that'll knock your eyes out.""","""____ _____ _____. __ ____ ____, ____ __ _____ _____ ______ ______ __ __ _______ _______.""",
143,0,"Hold on Mac, I'll get to you when I can.","__ ___ ___, ___ ___ ____.",
143,1,"I'm busy, wait your turn.","___ ____, ___ _____.",
143,2,I'll get to you in just a sec.,___ ___ _____ ____.,
143,3,Here is your 5 buckazoids and your free beer.,___ 5 __________ ___ _____ ____.,
143,4,,,
143,5,"C'mon, bud. If you haven't got the money, hit the sand.","__ ___. __ ___ __ ___, __ ___ __ ______ ___.",
145,0,"""Now, just take a gander at these beauties, sport. If ya see one ya like, just give a hoot. I'll stand right over here. No pressure. Absolutely none.""","""_____, __ ____ ___ ________ ____, ____. __ ___ ____ ___ _____, __ __ _____. ___ ____ __ ___ ___. ___ ___. __ __ __ ____.""",
145,1,"""So how 'bout it partner? Can I interest you in anything here?""","""__ __ ___ ____ ____? ____ ______ ____ _____?""",
145,2,"""Can we do business, or what? I'm at your service.""","""_____ ___, __ __? ___ _______.""",
145,3,"""I'd really like to help you out, bud. Just give me a chance to treat you right!""","""___ ____ ____ _____, ___. __ __ __ __ ________ ___ __ _____ ___ ___!""",
145,4,"""My sole purpose in life is to make you happy.""","""_____ ____ _______ ___ _____ ____ _____.""",
145,5,"""Have I mentioned that I have another party or two who are ready to deal? Not that I'm pressuring you or anything, partner. Just so you know.","""___ ______ ___ __ ____ __ _____ ______ _____ ____? __ ____ ____ __ ____, ____. __ _____.""",
145,6,"Hey, wait a sec, sport. Follow me and I'll show you the greatest ship you've ever seen. Truly unique! You'll be the envy of all your friends. The girls'll love it.","__, __ ____, ____. ___ ____ _____ __ __ ______ _______ _____ ___ ___ ____. ______ _____! ___ _____ __ _______ ___ ______ ___. _____ ______ ____.",
145,7,"""Don't let appearances fool ya. This baby may be a relic, I mean, a classic, but she's as dependable as the day we got her. And just think, you'll be the only one in the quadrant with one. I guarantee it!""","""__ ___ _____ ___ ______ ____. _____ ____ _____ ______, _____, ______, ___ ___ _____ ___ ____ _______ ____. ______ __ __, ___ ____ _____ ___ _____ __ ___ ___. ________ ___!""",
145,8,"She's a beaut, isn't she? This little baby can do a spin around the planet in just under an hour. Look at the lines in that body work. They just don't make 'em like this any more, ya' know what I mean? And she's a real bargain at 185 buckazoids.","___ _______, __ __? ______ _____ ___ _____ _____ __ _____ _____ ____. ____ ____ _______ __ __. ___ __ _____ _____ ____ ____, ___ ____ __ ___ ______? ____ _____ _____ __ 185 _________.",
145,9,"Of course, minus your 70 buckazoid credit, that would come to 115 buckazoids.","_____, ____ _____ __ 70 _________, ___ ____ __ 115 _________ ____ _______.",
145,10,"""Well, there's a man with a good eye. This here is the keenest little scrambler in the hemisphere. Top of the line. Handles like a charm. Perfect for cruising the asteroid fields.""","""____, ___ __ ___ ____ _____. ____ ___ ___ _______ ___ ___ ____ _____. _____ _____. _______ ___ ___. ______ _____ _____ ___________.""",
145,11,"""And she's got all the thrust a guy could need. I tell ya, she's an outright steal at 214 buckazoids.""","""___ __ __ __ ____ ___ ___ ____ _____. ___ ____'_ ___, ___ ____ _____ __ ____ __ 214 _________.""",
145,12,"Of course, minus your 70 buckazoid credit, that would come to, uh... 144 buckazoids.","_____, ____ _____ __ 70 _________, ___ ____ __ ____, __... 144 _________.",
145,13,"""It's been a heckuva pleasure doin' business with you. It's a good thing you've already got a pilot droid, 'cause you need one to help you fly that thing. Well, good luck. Come again.""","""___ _____ ____ _____ ____ _____. ___ ____ __ __ ____ _______, __ _____ ____ ___ _____ __ ____ ___. ____, _____ ______. _____ _____.""",
145,14,"""It's been a heckuva pleasure doin' business with you. Oh, by the way, you're gonna need a droid to help you fly that thing. Well, good luck. Come again.""","""___ _____ ____ _____ _____ ____ _____. __, ___ ___, _____ _____ ______ __ _____ __ ____ ___. ____, ______. ___ ____ _____.""",
145,15,"""I still have that other, fine ship just to the south of here. Whad'ya say, sport, shall we go give her another look-see?""","""__ __ _____ __ ______ _______ ____, ____ _____ ____. __ ___ ____, ____, ____ __ ___ ____ ____ ____?""",
145,16,"""So, what are ya tryin' to pull? If you don't have the cash you can hit the sand. Go on, get out of here. You're wasting my time!""","""__, ___ ___ _____ ____ _____? __ ___ __ _____ __ ___ ______. _____, __ ____. ___ _____ __ __ ____!""",
145,17,"""I tell ya, I think you've made a wise decision. She's a beauty. The keys are in her. If you have any problems don't hesitate to come back and tell us about 'em.""","""_'___ __, _____ __ ______ ______. ___ ______. _______ _____. __ ___ ____ ______ __ ____ _____ _____ ___ _____.""",
145,18,"Thanks, pal. I can't say how long I've wanted one of these.","____, ___. ___ __ ____ ___ ___ ___ ____ ___ ____.",
145,19,All riiiight! Is this that new Earth Wars movie?,"_________! __ ____ ____ ""_____ _______""?",
145,20,"""Yeah, I've heard about how your kind likes to skin my kind. If you only knew what WE do to monkeys on MY planet, you'd think twice about waving that little sticker in my direction. But, hey, I'd still like to sell you somethin'. What d'ya say?""","""__, _____ ___ ___ ____ ______ _____ __ ____ ____ ____. ____ __ ____ __ ___ _______ ______ __ _____ ____, __ ____ ___ _____ ______ _____ ____ ___ ______ ___. ___, ___, _____ ___ _____ __ ____. __ _'____?""",
145,21,"Thanks a bunch, guy! This planet really dries me out. I feel like a you-know-what outa water.","____ ___, ___! _____ ___ ____ ____ ____. ___ _____ ___ ___-____-__ ____ ____.",
145,22,"Hey! I'm not responsible. That ship was in A-1 shape when I sold it to you. I swear it! Hey, wait a minute. That's not from any of MY ships. What are you tryin' to pull here?","__! ___ __ _____ ___. ______ ___ ____ ____ _____ _______ ____. ____ __! __, __ ____. __ ____ __ ___ ________ ___. __ __ ___ ____ _____?",
145,23,"Right, guy. Like I need a stupid rock. Do I look like I was hatched just yesterday?","__, ___. _____ __ __ ____ ____ ______. ____ __ ______ _____ ______?",
157,0,"What do you want to do, make faces at him to scare him away?","__ ___ ____, _____ __ _______ __ _____?",
157,1,"Oh, crud! It's one of the Sarien guards. I don't think you're going to enjoy this visit.",___ ___! __ ___ ________ ________. ___ ____ ____ __ ____ _____ _______ ___.,
157,2,Go ahead. Walk on up and give it a try.,_____ ____ ____. ___ _____ ____ __ ____.,
157,3,You probably thought that was actually going to work. Ha!,___ ____ ___ _____. __!,
158,0,You carbon based life forms are soooo annoying. My counterpart at Ulence Flats on Kerona told me about this one pesky humanoid in a grungy blue space suit who just kept pestering him. Oh why does commiting genocide seem such a good idea right now.,_____ _____ _______ _____ ____ __ ____ _______. ______ ___ _______ _____ ______ ____ __ __ ____ ____ ____ ______ ______ ___ _______ _____ ___ _____ ______ ____. ______ ___ ___ __ ____ __ _____ ___ _____ _____.,
158,1,"Go away, I'm not talking to you.","__ ___, ___ __ ____ ____.",
158,2,I'm not talking to you.,___ __ ____ ____.,
158,3,I'm still not talking to you.,___ _____ __ ____ ____.,
158,4,"Oh... welcome to the Weapons Dispensary, I guess. I've got an IQ of 5000 but they feel I'm only good enough to fetch weapons, like some whimpering puppy dog.","__... ____ ___ ______ ____, ___ ____. __ __ ___ ____ __ 5000 ___ ______ ____ _____ ___ ___, _____ ___ ____ _____ _____.",
158,5,You'll have to show me your ID card so I can scurry off and fetch your weapon. Why they don't just wire me into the ship's systems - so I would know who you are without an ID card - is beyond even my supreme intellect.,_____ ______ __ __ _____ _____ ___ ___ _____ _____ ______ ______ __ __ ___ ____ ___. ____ __ ___ __ ______ ____ _______ ______ - ___ _____ ____ __ ___ ___ ____ _____ _____ - ____ _____ ______ _______.,
158,6,"Oh dear, you carbon-based life forms can be soooo annoying. Even something with your incredibly low intelligence should know enough not to enter a restricted area. I guess I'll just have to destroy you to prevent you from reproducing more of your kind.","___ __, _____ _____ _______ _____ ____ ______ _____ __ __ _______. _____ ____ __ ___________ _____ ______ ____ ____ _____ ___ ______ _____ _____. ___ ____ ____ ______ ____ __ ___ _____ ___ _______ ___ ____.",
158,7,"Oh dear... another intruder. If it isn't fetching weapons for so-and-so or checking ID cards, its vaporizing bothersome simians.","___ _____ __... ___ ____. __ __ _____ _____ ______ ______ ____, _____ _____ _____ ________.",
158,8,"As my supreme intellect suspected, another obvious organic life form error. Let me say this verrrryyyy sllloooowwwlllly, THERE ARE NO MORE WEAPONS FOR YOU.","___ _______ _______ _____, __ ___ ___ ___ ____ ____ _______ _____. __ __ ____ __ __ _______ _________, ___ ___ ______.",
158,9,"Oh, how clever, you have an ID card and, my my what a ehem... lovely photo of a pre- proto, organic biped you have too. I guess I'll use my vast resources to fetch your silly weapon for you. Please wait here if you can handle such a simple command.","__, ___ _____, __ __ _____ ____, ____ ____ __ ___, __ __, ___... ___ ____ __ _____ ______ __ ____ __-_____ __ ____ ______. ___ ____ ______ ______ _____ _____ _____ __ ____ ______ ___. ___ ____ ___ __ ___ _____ _______ __ _____ __ __ _____.",
158,10,Hmm... are you sure you don't already have your weapon? Organics like you have such a 'tricky' memory. Are you sure you didn't do something silly like accidently eating it or something? Oh never mind. Don't overtax yourself. I'll just go check.,___... ___ ____ ___ _____ ___ __ ____? ________ ________ _____ ___ ____ _____ _____ '_____'. ___ ____ ___ ____ ____ _____ ___ _____ ____ _____ __ ____? __ __ ____. __ _____ __ ____. ___ ___ _____.,
